Review ID,Raw Review Text,Final Entity,Final Tag,clean_Raw Review Text,token,counter,dup_count,mismatch_count,ground
11,i assembled this by myself and it was very easy to do and almost did not need an instruction manual . very intuitive . the only hard part was getting the heavy box inside . great little workout,"['assembled', 'box', 'easy', 'hard', 'heavy', 'instruction manual', 'intuitive']","['Assembly', 'Packaging', 'Ease', 'Ease', 'Weight', 'Instructions', 'Intuitive']",i assembled this by myself and it was very easy to do and almost did not need an instruction manual . very intuitive . the only hard part was getting the heavy box inside . great little workout,"['i', 'assembled', 'this', 'by', 'myself', 'and', 'it', 'was', 'very', 'easy', 'to', 'do', 'and', 'almost', 'did', 'not', 'need', 'an', 'instruction', 'manual', '.', 'very', 'intuitive', '.', 'the', 'only', 'hard', 'part', 'was', 'getting', 'the', 'heavy', 'box', 'inside', '.', 'great', 'little', 'workout']","[1, 1, 1, 1, 1, 1, 1]",0,0,"['O', 'B-Assembly', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Ease', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Instructions', 'I-Instructions', 'O', 'O', 'B-Intuitive', 'O', 'O', 'O', 'B-Ease', 'O', 'O', 'O', 'O', 'B-Weight', 'B-Packaging', 'O', 'O', 'O', 'O', 'O']"
12,perfect . tempted to replace my caspar mattress with it . cheap and comfortable .,"['caspar', 'cheap', 'comfortable', 'mattress', 'replace']","['Brand Names', 'Price', 'Comfort', 'Mattress', 'Replace Products']",perfect . tempted to replace my caspar mattress with it . cheap and comfortable .,"['perfect', '.', 'tempted', 'to', 'replace', 'my', 'caspar', 'mattress', 'with', 'it', '.', 'cheap', 'and', 'comfortable', '.']","[1, 1, 1, 1, 1]",0,0,"['O', 'O', 'O', 'O', 'B-Replace Products', 'O', 'B-Brand Names', 'B-Mattress', 'O', 'O', 'O', 'B-Price', 'O', 'B-Comfort', 'O']"
13,i am a stomach sleeper and so i tend to get uncomfortable during the middle of the night . once i slept on this bed i fall asleep and wake up in same spot . i use a fitbit to gauge my sleep and my deep sleep has improved and i stay asleep . so no middle of night tossing and what not . highly recommend this bed#1 .,"['bed', 'bed#1', 'deep sleep', 'fall asleep', 'fitbit', 'middle of night', 'middle of the night', 'recommend', 'sleep', 'slept on', 'stay asleep', 'stomach sleeper', 'tossing', 'uncomfortable', 'wake up']","['Bed', 'Bed', 'Sleep Quality', 'Falling Asleep', 'Brand Names', 'Time Of Day', 'Time Of Day', 'Recommend', 'Sleep Quality', 'Sleep Quality', 'Sleep Disruption', 'Stomach Sleeper', 'Tossing And Turning', 'Comfort', 'Waking Up']",i am a stomach sleeper and so i tend to get uncomfortable during the middle of the night . once i slept on this bed i fall asleep and wake up in same spot . i use a fitbit to gauge my sleep and my deep sleep has improved and i stay asleep . so no middle of night tossing and what not . highly recommend this bed#1 .,"['i', 'am', 'a', 'stomach', 'sleeper', 'and', 'so', 'i', 'tend', 'to', 'get', 'uncomfortable', 'during', 'the', 'middle', 'of', 'the', 'night', '.', 'once', 'i', 'slept', 'on', 'this', 'bed', 'i', 'fall', 'asleep', 'and', 'wake', 'up', 'in', 'same', 'spot', '.', 'i', 'use', 'a', 'fitbit', 'to', 'gauge', 'my', 'sleep', 'and', 'my', 'deep', 'sleep', 'has', 'improved', 'and', 'i', 'stay', 'asleep', '.', 'so', 'no', 'middle', 'of', 'night', 'tossing', 'and', 'what', 'not', '.', 'highly', 'recommend', 'this', 'bed', '.']","[2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1]",1,0,"['O', 'O', 'O', 'B-Stomach Sleeper', 'I-Stomach Sleeper', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Comfort', 'O', 'O', 'B-Time Of Day', 'I-Time Of Day', 'I-Time Of Day', 'I-Time Of Day', 'O', 'O', 'O', 'B-Sleep Quality', 'I-Sleep Quality', 'O', 'B-Bed', 'O', 'B-Falling Asleep', 'I-Falling Asleep', 'O', 'B-Waking Up', 'I-Waking Up', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Brand Names', 'O', 'O', 'O', 'B-Sleep Quality', 'O', 'O', 'B-Sleep Quality', 'I-Sleep Quality', 'O', 'O', 'O', 'O', 'B-Sleep Disruption', 'I-Sleep Disruption', 'O', 'O', 'O', 'B-Time Of Day', 'I-Time Of Day', 'I-Time Of Day', 'B-Tossing And Turning', 'O', 'O', 'O', 'O', 'O', 'B-Recommend', 'O', 'B-Bed', 'O']"
14,by far the most comfortable mattress we have ever owned . soft yet firm enough to give great support all over your body and it was delivered free right to our door with our prime membership . we saved hundreds !,"['body', 'comfortable', 'delivered', 'firm', 'free', 'hundreds', 'mattress', 'prime membership', 'saved', 'soft', 'support', 'to our door']","['Body', 'Comfort', 'Delivery', 'Firmness', 'Price', 'Quantity', 'Mattress', 'Prime Delivery', 'Saving Money', 'Firmness', 'Support', 'Location']",by far the most comfortable mattress we have ever owned . soft yet firm enough to give great support all over your body and it was delivered free right to our door with our prime membership . we saved hundreds !,"['by', 'far', 'the', 'most', 'comfortable', 'mattress', 'we', 'have', 'ever', 'owned', '.', 'soft', 'yet', 'firm', 'enough', 'to', 'give', 'great', 'support', 'all', 'over', 'your', 'body', 'and', 'it', 'was', 'delivered', 'free', 'right', 'to', 'our', 'door', 'with', 'our', 'prime', 'membership', '.', 'we', 'saved', 'hundreds', '!']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,0,"['O', 'O', 'O', 'O', 'B-Comfort', 'B-Mattress', 'O', 'O', 'O', 'O', 'O', 'B-Firmness', 'O', 'B-Firmness', 'O', 'O', 'O', 'O', 'B-Support', 'O', 'O', 'O', 'B-Body', 'O', 'O', 'O', 'B-Delivery', 'B-Price', 'O', 'B-Location', 'I-Location', 'I-Location', 'O', 'O', 'B-Prime Delivery', 'I-Prime Delivery', 'O', 'O', 'B-Saving Money', 'B-Quantity', 'O']"
15,very comfortable ! much less expensive than buying from a mattress store !,"['buying', 'comfortable', 'expensive', 'mattress store']","['Purchase', 'Comfort', 'Price', 'Store']",very comfortable ! much less expensive than buying from a mattress store !,"['very', 'comfortable', '!', 'much', 'less', 'expensive', 'than', 'buying', 'from', 'a', 'mattress', 'store', '!']","[1, 1, 1, 1]",0,0,"['O', 'B-Comfort', 'O', 'O', 'O', 'B-Price', 'O', 'B-Purchase', 'O', 'O', 'B-Store', 'I-Store', 'O']"
16,"fast shipping , easy to install , very comfortable and at an affordable price .","['affordable', 'comfortable', 'easy', 'fast', 'price', 'shipping', 'to install']","['Price', 'Comfort', 'Ease', 'Speed', 'Price', 'Delivery', 'Assembly']","fast shipping , easy to install , very comfortable and at an affordable price .","['fast', 'shipping', ',', 'easy', 'to', 'install', ',', 'very', 'comfortable', 'and', 'at', 'an', 'affordable', 'price', '.']","[1, 1, 1, 1, 1, 1, 1]",0,0,"['B-Speed', 'B-Delivery', 'O', 'B-Ease', 'B-Assembly', 'I-Assembly', 'O', 'O', 'B-Comfort', 'O', 'O', 'O', 'B-Price', 'B-Price', 'O']"
17,i ' ve quite literally never slept better . so convenient . so affordable . so comfy .,"['affordable', 'comfy', 'convenient', 'never slept better']","['Price', 'Comfort', 'Convenience', 'Sleep Quality']",i ' ve quite literally never slept better . so convenient . so affordable . so comfy .,"['i', ""'"", 've', 'quite', 'literally', 'never', 'slept', 'better', '.', 'so', 'convenient', '.', 'so', 'affordable', '.', 'so', 'comfy', '.']","[1, 1, 1, 1]",0,0,"['O', 'O', 'O', 'O', 'O', 'B-Sleep Quality', 'I-Sleep Quality', 'I-Sleep Quality', 'O', 'O', 'B-Convenience', 'O', 'O', 'B-Price', 'O', 'O', 'B-Comfort', 'O']"
18,"delivered in a box and expanded like a guy at an all you can eat restaurant ! what a great mattress , light weight and super comfortable at a price that was so low i felt like i was taking atvantage of amazon . of course i got a super low#1 seasonal price . this mattress#1 from ashley really eliminates pressure points ! ! ! ! i ' m impressed . thank you amazom prime for the free shipping and fast delivery ! if you order one , do not forget the great priced cotton sheet sets , blankets and pillows !","['amazom prime', 'amazon', 'ashley', 'blankets', 'box', 'comfortable', 'cotton', 'delivered', 'delivery', 'eliminates pressure points', 'expanded', 'fast', 'free', 'great priced', 'light weight', 'low', 'low#1', 'mattress', 'mattress#1', 'order', 'pillows', 'seasonal price', 'sheet sets', 'shipping']","['Prime Delivery', 'Amazon', 'Brand Names', 'Blanket', 'Packaging', 'Comfort', 'Cotton', 'Delivery', 'Delivery', 'Pressure Point Relief', 'Expansion', 'Speed', 'Price', 'Saving Money', 'Weight', 'Price', 'Price', 'Mattress', 'Mattress', 'Purchase', 'Pillow', 'Deal', 'Bed Sheets', 'Delivery']","delivered in a box and expanded like a guy at an all you can eat restaurant ! what a great mattress , light weight and super comfortable at a price that was so low i felt like i was taking atvantage of amazon . of course i got a super low#1 seasonal price . this mattress#1 from ashley really eliminates pressure points ! ! ! ! i ' m impressed . thank you amazom prime for the free shipping and fast delivery ! if you order one , do not forget the great priced cotton sheet sets , blankets and pillows !","['delivered', 'in', 'a', 'box', 'and', 'expanded', 'like', 'a', 'guy', 'at', 'an', 'all', 'you', 'can', 'eat', 'restaurant', '!', 'what', 'a', 'great', 'mattress', ',', 'light', 'weight', 'and', 'super', 'comfortable', 'at', 'a', 'price', 'that', 'was', 'so', 'low', 'i', 'felt', 'like', 'i', 'was', 'taking', 'atvantage', 'of', 'amazon', '.', 'of', 'course', 'i', 'got', 'a', 'super', 'low', 'seasonal', 'price', '.', 'this', 'mattress', 'from', 'ashley', 'really', 'eliminates', 'pressure', 'points', '!', '!', '!', '!', 'i', ""'"", 'm', 'impressed', '.', 'thank', 'you', 'amazom', 'prime', 'for', 'the', 'free', 'shipping', 'and', 'fast', 'delivery', '!', 'if', 'you', 'order', 'one', ',', 'do', 'not', 'forget', 'the', 'great', 'priced', 'cotton', 'sheet', 'sets', ',', 'blankets', 'and', 'pillows', '!']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1]",1,0,"['B-Delivery', 'O', 'O', 'B-Packaging', 'O', 'B-Expansion', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Mattress', 'O', 'B-Weight', 'I-Weight', 'O', 'O', 'B-Comfort', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Price', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Amazon', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Price', 'B-Deal', 'I-Deal', 'O', 'O', 'B-Mattress', 'O', 'B-Brand Names', 'O', 'B-Pressure Point Relief', 'I-Pressure Point Relief', 'I-Pressure Point Relief', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Prime Delivery', 'I-Prime Delivery', 'O', 'O', 'B-Price', 'B-Delivery', 'O', 'B-Speed', 'B-Delivery', 'O', 'O', 'O', 'B-Purchase', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Saving Money', 'I-Saving Money', 'B-Cotton', 'B-Bed Sheets', 'I-Bed Sheets', 'O', 'B-Blanket', 'O', 'B-Pillow', 'O']"
19,"i bought this mattress via amazon in 2017 . very pleased 2 years later . plush but supportive and excellent for my orthopedic issues . no pain in the morning ! highly recommended . . . pay attention to their ratings in regard to firmness . the 10 inch is their plush#1 model , feels like sleeping on a cloud .","['10 inch', '2 years', 'amazon', 'bought', 'firmness', 'orthopedic issues', 'mattress', 'morning', 'pain', 'plush', 'plush#1', 'ratings', 'recommended', 'sleeping on a cloud', 'supportive']","['Thickness', 'Duration', 'Amazon', 'Purchase', 'Firmness', 'Pain Relief', 'Mattress', 'Time Of Day', 'Pain Relief', 'Firmness', 'Firmness', 'Product Reviews', 'Recommend', 'Sleep Quality', 'Support']","i bought this mattress via amazon in 2017 . very pleased 2 years later . plush but supportive and excellent for my orthopedic issues . no pain in the morning ! highly recommended . . . pay attention to their ratings in regard to firmness . the 10 inch is their plush#1 model , feels like sleeping on a cloud .","['i', 'bought', 'this', 'mattress', 'via', 'amazon', 'in', '2017', '.', 'very', 'pleased', '2', 'years', 'later', '.', 'plush', 'but', 'supportive', 'and', 'excellent', 'for', 'my', 'orthopedic', 'issues', '.', 'no', 'pain', 'in', 'the', 'morning', '!', 'highly', 'recommended', '.', '.', '.', 'pay', 'attention', 'to', 'their', 'ratings', 'in', 'regard', 'to', 'firmness', '.', 'the', '10', 'inch', 'is', 'their', 'plush', 'model', ',', 'feels', 'like', 'sleeping', 'on', 'a', 'cloud', '.']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",1,0,"['O', 'B-Purchase', 'O', 'B-Mattress', 'O', 'B-Amazon', 'O', 'O', 'O', 'O', 'O', 'B-Duration', 'I-Duration', 'O', 'O', 'B-Firmness', 'O', 'B-Support', 'O', 'O', 'O', 'O', 'B-Pain Relief', 'I-Pain Relief', 'O', 'O', 'B-Pain Relief', 'O', 'O', 'B-Time Of Day', 'O', 'O', 'B-Recommend', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Product Reviews', 'O', 'O', 'O', 'B-Firmness', 'O', 'O', 'B-Thickness', 'I-Thickness', 'O', 'O', 'B-Firmness', 'O', 'O', 'O', 'O', 'B-Sleep Quality', 'I-Sleep Quality', 'I-Sleep Quality', 'I-Sleep Quality', 'O']"
20,"mattress is very comfortable , not to hard not to soft . great sleep right out of the box","['box', 'comfortable', 'great sleep', 'hard', 'soft']","['Packaging', 'Comfort', 'Sleep Quality', 'Firmness', 'Firmness']","mattress is very comfortable , not to hard not to soft . great sleep right out of the box","['mattress', 'is', 'very', 'comfortable', ',', 'not', 'to', 'hard', 'not', 'to', 'soft', '.', 'great', 'sleep', 'right', 'out', 'of', 'the', 'box']","[1, 1, 1, 1, 1]",0,0,"['O', 'O', 'O', 'B-Comfort', 'O', 'O', 'O', 'B-Firmness', 'O', 'O', 'B-Firmness', 'O', 'B-Sleep Quality', 'I-Sleep Quality', 'O', 'O', 'O', 'O', 'B-Packaging']"
21,"wife has stopped coughing , snoring at night !","['coughing', 'night', 'snoring', 'wife']","['Coughing Relief', 'Time Of Day', 'Snoring Relief', 'Partner or Spouse']","wife has stopped coughing , snoring at night !","['wife', 'has', 'stopped', 'coughing', ',', 'snoring', 'at', 'night', '!']","[1, 1, 1, 1]",0,0,"['B-Partner or Spouse', 'O', 'O', 'B-Coughing Relief', 'O', 'B-Snoring Relief', 'O', 'B-Time Of Day', 'O']"
22,"i am so over the moon happy with this purchase . i would never recommend buying a mattress from amazon but after this purchase#1 , i have been telling everyone about my king size mattress#1 < 3","['amazon', 'king size', 'mattress', 'mattress#1', 'purchase', 'purchase#1', 'recommend']","['Amazon', 'Mattress Size', 'Mattress', 'Mattress', 'Product', 'Purchase', 'Recommend']","i am so over the moon happy with this purchase . i would never recommend buying a mattress from amazon but after this purchase#1 , i have been telling everyone about my king size mattress#1 < 3","['i', 'am', 'so', 'over', 'the', 'moon', 'happy', 'with', 'this', 'purchase', '.', 'i', 'would', 'never', 'recommend', 'buying', 'a', 'mattress', 'from', 'amazon', 'but', 'after', 'this', 'purchase', ',', 'i', 'have', 'been', 'telling', 'everyone', 'about', 'my', 'king', 'size', 'mattress', '<', '3']","[1, 1, 2, 1, 2, 1, 1]",1,0,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Product', 'O', 'O', 'O', 'O', 'B-Recommend', 'O', 'O', 'B-Mattress', 'O', 'B-Amazon', 'O', 'O', 'O', 'B-Purchase', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Mattress Size', 'I-Mattress Size', 'B-Mattress', 'O', 'O']"
23,great mattress for my son . he ' s 3 and i even sleep in his room at times . easy delivery . fantastic value . recommended .,"['3', 'delivery', 'easy', 'mattress', 'recommended', 'sleep', 'son', 'value']","['Age', 'Delivery', 'Ease', 'Mattress', 'Recommend', 'Sleep Quality', 'Family Members', 'Saving Money']",great mattress for my son . he ' s 3 and i even sleep in his room at times . easy delivery . fantastic value . recommended .,"['great', 'mattress', 'for', 'my', 'son', '.', 'he', ""'"", 's', '3', 'and', 'i', 'even', 'sleep', 'in', 'his', 'room', 'at', 'times', '.', 'easy', 'delivery', '.', 'fantastic', 'value', '.', 'recommended', '.']","[1, 1, 1, 1, 1, 1, 1, 1]",0,0,"['O', 'B-Mattress', 'O', 'O', 'B-Family Members', 'O', 'O', 'O', 'O', 'B-Age', 'O', 'O', 'O', 'B-Sleep Quality', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Ease', 'B-Delivery', 'O', 'O', 'B-Saving Money', 'O', 'B-Recommend', 'O']"
24,"this is a great quality product for the price , it beats any other store price#1 and quality . i recommend it .","['great quality', 'price', 'price#1', 'product', 'quality', 'recommend']","['Quality', 'Price', 'Price', 'Product', 'Quality', 'Recommend']","this is a great quality product for the price , it beats any other store price#1 and quality . i recommend it .","['this', 'is', 'a', 'great', 'quality', 'product', 'for', 'the', 'price', ',', 'it', 'beats', 'any', 'other', 'store', 'price', 'and', 'quality', '.', 'i', 'recommend', 'it', '.']","[1, 2, 1, 1, 2, 1]",1,0,"['O', 'O', 'O', 'B-Quality', 'I-Quality', 'B-Product', 'O', 'O', 'B-Price', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Price', 'O', 'B-Quality', 'O', 'O', 'B-Recommend', 'O', 'O']"
